"velocity:0","velocity:1","velocity:2"
-0.038892,-0.21201,-0.019067
-0.022135,-0.12075,-0.057558
-0.0044726,-0.02441,-0.51501
0.013372,0.072967,-0.49258
0.030671,0.16726,-0.030493
0.046713,0.25454,-0.012523
0.060843,0.3312,-0.0055237
0.072481,0.39408,-0.0022523
0.081151,0.44063,-0.00073024
0.086499,0.46912,-0.00013928
0.088306,0.47867,-1.0373e-05
0.09636,0.29556,2.4852e-05
0.094388,0.28983,0.00026999
0.088553,0.27231,0.0011392
0.079093,0.24349,0.0029211
0.066394,0.20456,0.0063931
0.050976,0.15714,0.013833
0.03347,0.10322,0.033453
0.014593,0.045017,0.5363
-0.0048808,-0.015058,0.56121
-0.024155,-0.074506,0.063429
-0.042441,-0.13086,0.02092
-0.058988,-0.1818,0.0093637
-0.073119,-0.2252,0.004355
-0.084255,-0.25925,0.0018893
-0.091942,-0.28254,0.00060902
-0.095866,-0.29415,8.8891e-05
-0.095866,-0.29415,-8.8891e-05
-0.091942,-0.28254,-0.00060902
-0.084255,-0.25925,-0.0018893
-0.073119,-0.2252,-0.004355
-0.058988,-0.1818,-0.0093637
-0.042441,-0.13086,-0.02092
-0.024155,-0.074506,-0.063429
-0.0048808,-0.015058,-0.56121
0.014593,0.045017,-0.5363
0.03347,0.10322,-0.033453
0.050976,0.15714,-0.013833
0.066394,0.20456,-0.0063931
0.079093,0.24349,-0.0029211
0.088553,0.27231,-0.0011392
0.094388,0.28983,-0.00026999
0.09636,0.29556,-2.4852e-05
0.10047,0.099934,0.00013854
0.098415,0.098081,0.00070731
0.092331,0.092171,0.0019789
0.082468,0.082389,0.0037962
0.069227,0.069188,0.0071917
0.053151,0.053133,0.014712
0.034898,0.034891,0.035097
0.015216,0.015214,0.55854
-0.0050891,-0.005089,0.58475
-0.025186,-0.025183,0.066574
-0.044252,-0.04424,0.022026
-0.061505,-0.061478,0.010163
-0.076239,-0.076183,0.0051893
-0.08785,-0.087738,0.0027789
-0.095865,-0.095634,0.0012932
-0.099955,-0.099493,0.00032678
-0.099955,-0.099493,-0.00032678
-0.095865,-0.095634,-0.0012932
-0.08785,-0.087738,-0.0027789
-0.076239,-0.076183,-0.0051893
-0.061505,-0.061478,-0.010163
-0.044252,-0.04424,-0.022026
-0.025186,-0.025183,-0.066574
-0.0050891,-0.005089,-0.58475
0.015216,0.015214,-0.55854
0.034898,0.034891,-0.035097
0.053151,0.053133,-0.014712
0.069227,0.069188,-0.0071917
0.082468,0.082389,-0.0037962
0.092331,0.092171,-0.0019789
0.098415,0.098081,-0.00070731
0.10047,0.099934,-0.00013854
0.10047,-0.099934,0.00013854
0.098415,-0.098081,0.00070731
0.092331,-0.092171,0.0019789
0.082468,-0.082389,0.0037962
0.069227,-0.069188,0.0071917
0.053151,-0.053133,0.014712
0.034898,-0.034891,0.035097
0.015216,-0.015214,0.55854
-0.0050891,0.005089,0.58475
-0.025186,0.025183,0.066574
-0.044252,0.04424,0.022026
-0.061505,0.061478,0.010163
-0.076239,0.076183,0.0051893
-0.08785,0.087738,0.0027789
-0.095865,0.095634,0.0012932
-0.099955,0.099493,0.00032678
-0.099955,0.099493,-0.00032678
-0.095865,0.095634,-0.0012932
-0.08785,0.087738,-0.0027789
-0.076239,0.076183,-0.0051893
-0.061505,0.061478,-0.010163
-0.044252,0.04424,-0.022026
-0.025186,0.025183,-0.066574
-0.0050891,0.005089,-0.58475
0.015216,-0.015214,-0.55854
0.034898,-0.034891,-0.035097
0.053151,-0.053133,-0.014712
0.069227,-0.069188,-0.0071917
0.082468,-0.082389,-0.0037962
0.092331,-0.092171,-0.0019789
0.098415,-0.098081,-0.00070731
0.10047,-0.099934,-0.00013854
0.09636,-0.29556,2.4852e-05
0.094388,-0.28983,0.00026999
0.088553,-0.27231,0.0011392
0.079093,-0.24349,0.0029211
0.066394,-0.20456,0.0063931
0.050976,-0.15714,0.013833
0.03347,-0.10322,0.033453
0.014593,-0.045017,0.5363
-0.0048808,0.015058,0.56121
-0.024155,0.074506,0.063429
-0.042441,0.13086,0.02092
-0.058988,0.1818,0.0093637
-0.073119,0.2252,0.004355
-0.084255,0.25925,0.0018893
-0.091942,0.28254,0.00060902
-0.095866,0.29415,8.8891e-05
-0.095866,0.29415,-8.8891e-05
-0.091942,0.28254,-0.00060902
-0.084255,0.25925,-0.0018893
-0.073119,0.2252,-0.004355
-0.058988,0.1818,-0.0093637
-0.042441,0.13086,-0.02092
-0.024155,0.074506,-0.063429
-0.0048808,0.015058,-0.56121
0.014593,-0.045017,-0.5363
0.03347,-0.10322,-0.033453
0.050976,-0.15714,-0.013833
0.066394,-0.20456,-0.0063931
0.079093,-0.24349,-0.0029211
0.088553,-0.27231,-0.0011392
0.094388,-0.28983,-0.00026999
0.09636,-0.29556,-2.4852e-05
0.088306,-0.47867,1.0373e-05
0.086499,-0.46912,0.00013928
0.081151,-0.44063,0.00073024
0.072481,-0.39408,0.0022523
0.060843,-0.3312,0.0055237
0.046713,-0.25454,0.012523
0.030671,-0.16726,0.030493
0.013372,-0.072967,0.49258
-0.0044726,0.02441,0.51501
-0.022135,0.12075,0.057558
-0.038892,0.21201,0.019067
-0.054056,0.29441,0.0083376
-0.067006,0.36454,0.0035892
-0.077212,0.41953,0.0013376
