"Points:0","Points:1","Points:2"
3.2429,2.6349,0
3.2429,2.8376,0
3.2429,3.0403,0
3.2429,3.2429,0
3.2429,3.4456,0
3.2429,3.6483,0
3.2429,3.851,0
3.2429,4.0537,0
3.2429,4.2564,0
3.2429,4.459,0
3.2429,4.6617,0
3.2429,4.8644,0
3.2429,5.0671,0
3.2429,5.2698,0
3.2429,5.4725,0
3.2429,5.6751,0
3.2429,5.8778,0
3.2429,6.0805,0
3.2429,6.2832,0
3.4456,0,0
3.4456,0.20268,0
3.4456,0.40537,0
3.4456,0.60805,0
3.4456,0.81073,0
3.4456,1.0134,0
3.4456,1.2161,0
3.4456,1.4188,0
3.4456,1.6215,0
3.4456,1.8242,0
3.4456,2.0268,0
3.4456,2.2295,0
3.4456,2.4322,0
3.4456,2.6349,0
3.4456,2.8376,0
3.4456,3.0403,0
3.4456,3.2429,0
3.4456,3.4456,0
3.4456,3.6483,0
3.4456,3.851,0
3.4456,4.0537,0
3.4456,4.2564,0
3.4456,4.459,0
3.4456,4.6617,0
3.4456,4.8644,0
3.4456,5.0671,0
3.4456,5.2698,0
3.4456,5.4725,0
3.4456,5.6751,0
3.4456,5.8778,0
3.4456,6.0805,0
3.4456,6.2832,0
3.6483,0,0
3.6483,0.20268,0
3.6483,0.40537,0
3.6483,0.60805,0
3.6483,0.81073,0
3.6483,1.0134,0
3.6483,1.2161,0
3.6483,1.4188,0
3.6483,1.6215,0
3.6483,1.8242,0
3.6483,2.0268,0
3.6483,2.2295,0
3.6483,2.4322,0
3.6483,2.6349,0
3.6483,2.8376,0
3.6483,3.0403,0
3.6483,3.2429,0
3.6483,3.4456,0
3.6483,3.6483,0
3.6483,3.851,0
3.6483,4.0537,0
3.6483,4.2564,0
3.6483,4.459,0
3.6483,4.6617,0
3.6483,4.8644,0
3.6483,5.0671,0
3.6483,5.2698,0
3.6483,5.4725,0
3.6483,5.6751,0
3.6483,5.8778,0
3.6483,6.0805,0
3.6483,6.2832,0
3.851,0,0
3.851,0.20268,0
3.851,0.40537,0
3.851,0.60805,0
3.851,0.81073,0
3.851,1.0134,0
3.851,1.2161,0
3.851,1.4188,0
3.851,1.6215,0
3.851,1.8242,0
3.851,2.0268,0
3.851,2.2295,0
3.851,2.4322,0
3.851,2.6349,0
3.851,2.8376,0
3.851,3.0403,0
3.851,3.2429,0
3.851,3.4456,0
3.851,3.6483,0
3.851,3.851,0
3.851,4.0537,0
3.851,4.2564,0
3.851,4.459,0
3.851,4.6617,0
3.851,4.8644,0
3.851,5.0671,0
3.851,5.2698,0
3.851,5.4725,0
3.851,5.6751,0
3.851,5.8778,0
3.851,6.0805,0
3.851,6.2832,0
4.0537,0,0
4.0537,0.20268,0
4.0537,0.40537,0
4.0537,0.60805,0
4.0537,0.81073,0
4.0537,1.0134,0
4.0537,1.2161,0
4.0537,1.4188,0
4.0537,1.6215,0
4.0537,1.8242,0
4.0537,2.0268,0
4.0537,2.2295,0
4.0537,2.4322,0
4.0537,2.6349,0
4.0537,2.8376,0
4.0537,3.0403,0
4.0537,3.2429,0
4.0537,3.4456,0
4.0537,3.6483,0
4.0537,3.851,0
4.0537,4.0537,0
4.0537,4.2564,0
4.0537,4.459,0
4.0537,4.6617,0
4.0537,4.8644,0
4.0537,5.0671,0
4.0537,5.2698,0
4.0537,5.4725,0
4.0537,5.6751,0
4.0537,5.8778,0
4.0537,6.0805,0
4.0537,6.2832,0
4.2564,0,0
4.2564,0.20268,0
4.2564,0.40537,0
4.2564,0.60805,0
4.2564,0.81073,0
4.2564,1.0134,0
4.2564,1.2161,0
4.2564,1.4188,0
4.2564,1.6215,0
4.2564,1.8242,0
4.2564,2.0268,0
4.2564,2.2295,0
4.2564,2.4322,0
4.2564,2.6349,0
4.2564,2.8376,0
4.2564,3.0403,0
4.2564,3.2429,0
4.2564,3.4456,0
4.2564,3.6483,0
4.2564,3.851,0
4.2564,4.0537,0
4.2564,4.2564,0
4.2564,4.459,0
4.2564,4.6617,0
4.2564,4.8644,0
4.2564,5.0671,0
4.2564,5.2698,0
4.2564,5.4725,0
4.2564,5.6751,0
4.2564,5.8778,0
4.2564,6.0805,0
4.2564,6.2832,0
4.459,0,0
4.459,0.20268,0
4.459,0.40537,0
4.459,0.60805,0
4.459,0.81073,0
4.459,1.0134,0
4.459,1.2161,0
4.459,1.4188,0
4.459,1.6215,0
4.459,1.8242,0
4.459,2.0268,0
4.459,2.2295,0
4.459,2.4322,0
4.459,2.6349,0
4.459,2.8376,0
4.459,3.0403,0
4.459,3.2429,0
4.459,3.4456,0
4.459,3.6483,0
4.459,3.851,0
4.459,4.0537,0
4.459,4.2564,0
4.459,4.459,0
4.459,4.6617,0
4.459,4.8644,0
4.459,5.0671,0
4.459,5.2698,0
4.459,5.4725,0
4.459,5.6751,0
4.459,5.8778,0
4.459,6.0805,0
4.459,6.2832,0
4.6617,0,0
4.6617,0.20268,0
4.6617,0.40537,0
4.6617,0.60805,0
4.6617,0.81073,0
4.6617,1.0134,0
4.6617,1.2161,0
4.6617,1.4188,0
4.6617,1.6215,0
4.6617,1.8242,0
4.6617,2.0268,0
4.6617,2.2295,0
4.6617,2.4322,0
4.6617,2.6349,0
4.6617,2.8376,0
4.6617,3.0403,0
4.6617,3.2429,0
4.6617,3.4456,0
4.6617,3.6483,0
4.6617,3.851,0
4.6617,4.0537,0
4.6617,4.2564,0
4.6617,4.459,0
4.6617,4.6617,0
4.6617,4.8644,0
4.6617,5.0671,0
4.6617,5.2698,0
4.6617,5.4725,0
4.6617,5.6751,0
4.6617,5.8778,0
4.6617,6.0805,0
4.6617,6.2832,0
4.8644,0,0
4.8644,0.20268,0
4.8644,0.40537,0
4.8644,0.60805,0
4.8644,0.81073,0
4.8644,1.0134,0
4.8644,1.2161,0
4.8644,1.4188,0
4.8644,1.6215,0
4.8644,1.8242,0
4.8644,2.0268,0
4.8644,2.2295,0
4.8644,2.4322,0
4.8644,2.6349,0
4.8644,2.8376,0
4.8644,3.0403,0
4.8644,3.2429,0
4.8644,3.4456,0
4.8644,3.6483,0
4.8644,3.851,0
4.8644,4.0537,0
4.8644,4.2564,0
4.8644,4.459,0
4.8644,4.6617,0
4.8644,4.8644,0
4.8644,5.0671,0
4.8644,5.2698,0
4.8644,5.4725,0
4.8644,5.6751,0
4.8644,5.8778,0
4.8644,6.0805,0
4.8644,6.2832,0
5.0671,0,0
5.0671,0.20268,0
5.0671,0.40537,0
5.0671,0.60805,0
5.0671,0.81073,0
5.0671,1.0134,0
5.0671,1.2161,0
5.0671,1.4188,0
5.0671,1.6215,0
5.0671,1.8242,0
5.0671,2.0268,0
5.0671,2.2295,0
5.0671,2.4322,0
5.0671,2.6349,0
5.0671,2.8376,0
5.0671,3.0403,0
5.0671,3.2429,0
5.0671,3.4456,0
5.0671,3.6483,0
5.0671,3.851,0
5.0671,4.0537,0
5.0671,4.2564,0
5.0671,4.459,0
5.0671,4.6617,0
5.0671,4.8644,0
5.0671,5.0671,0
5.0671,5.2698,0
5.0671,5.4725,0
5.0671,5.6751,0
5.0671,5.8778,0
5.0671,6.0805,0
5.0671,6.2832,0
5.2698,0,0
5.2698,0.20268,0
5.2698,0.40537,0
5.2698,0.60805,0
5.2698,0.81073,0
5.2698,1.0134,0
5.2698,1.2161,0
5.2698,1.4188,0
5.2698,1.6215,0
5.2698,1.8242,0
5.2698,2.0268,0
5.2698,2.2295,0
5.2698,2.4322,0
5.2698,2.6349,0
5.2698,2.8376,0
5.2698,3.0403,0
5.2698,3.2429,0
5.2698,3.4456,0
5.2698,3.6483,0
5.2698,3.851,0
5.2698,4.0537,0
5.2698,4.2564,0
5.2698,4.459,0
5.2698,4.6617,0
5.2698,4.8644,0
5.2698,5.0671,0
5.2698,5.2698,0
5.2698,5.4725,0
5.2698,5.6751,0
5.2698,5.8778,0
5.2698,6.0805,0
5.2698,6.2832,0
5.4725,0,0
5.4725,0.20268,0
5.4725,0.40537,0
5.4725,0.60805,0
5.4725,0.81073,0
5.4725,1.0134,0
5.4725,1.2161,0
5.4725,1.4188,0
5.4725,1.6215,0
5.4725,1.8242,0
5.4725,2.0268,0
5.4725,2.2295,0
5.4725,2.4322,0
5.4725,2.6349,0
5.4725,2.8376,0
5.4725,3.0403,0
5.4725,3.2429,0
5.4725,3.4456,0
5.4725,3.6483,0
5.4725,3.851,0
5.4725,4.0537,0
5.4725,4.2564,0
5.4725,4.459,0
5.4725,4.6617,0
5.4725,4.8644,0
5.4725,5.0671,0
5.4725,5.2698,0
5.4725,5.4725,0
5.4725,5.6751,0
5.4725,5.8778,0
5.4725,6.0805,0
5.4725,6.2832,0
5.6751,0,0
5.6751,0.20268,0
5.6751,0.40537,0
5.6751,0.60805,0
5.6751,0.81073,0
5.6751,1.0134,0
5.6751,1.2161,0
5.6751,1.4188,0
5.6751,1.6215,0
5.6751,1.8242,0
5.6751,2.0268,0
5.6751,2.2295,0
5.6751,2.4322,0
5.6751,2.6349,0
5.6751,2.8376,0
5.6751,3.0403,0
5.6751,3.2429,0
5.6751,3.4456,0
5.6751,3.6483,0
5.6751,3.851,0
5.6751,4.0537,0
5.6751,4.2564,0
5.6751,4.459,0
5.6751,4.6617,0
5.6751,4.8644,0
5.6751,5.0671,0
5.6751,5.2698,0
5.6751,5.4725,0
5.6751,5.6751,0
5.6751,5.8778,0
5.6751,6.0805,0
5.6751,6.2832,0
5.8778,0,0
5.8778,0.20268,0
5.8778,0.40537,0
5.8778,0.60805,0
5.8778,0.81073,0
5.8778,1.0134,0
5.8778,1.2161,0
5.8778,1.4188,0
5.8778,1.6215,0
5.8778,1.8242,0
5.8778,2.0268,0
5.8778,2.2295,0
5.8778,2.4322,0
5.8778,2.6349,0
5.8778,2.8376,0
5.8778,3.0403,0
5.8778,3.2429,0
5.8778,3.4456,0
5.8778,3.6483,0
5.8778,3.851,0
5.8778,4.0537,0
5.8778,4.2564,0
5.8778,4.459,0
5.8778,4.6617,0
5.8778,4.8644,0
5.8778,5.0671,0
5.8778,5.2698,0
5.8778,5.4725,0
5.8778,5.6751,0
5.8778,5.8778,0
5.8778,6.0805,0
5.8778,6.2832,0
6.0805,0,0
6.0805,0.20268,0
6.0805,0.40537,0
6.0805,0.60805,0
6.0805,0.81073,0
6.0805,1.0134,0
6.0805,1.2161,0
6.0805,1.4188,0
6.0805,1.6215,0
6.0805,1.8242,0
6.0805,2.0268,0
6.0805,2.2295,0
6.0805,2.4322,0
6.0805,2.6349,0
6.0805,2.8376,0
6.0805,3.0403,0
6.0805,3.2429,0
6.0805,3.4456,0
6.0805,3.6483,0
6.0805,3.851,0
6.0805,4.0537,0
6.0805,4.2564,0
6.0805,4.459,0
6.0805,4.6617,0
6.0805,4.8644,0
6.0805,5.0671,0
6.0805,5.2698,0
6.0805,5.4725,0
6.0805,5.6751,0
6.0805,5.8778,0
6.0805,6.0805,0
6.0805,6.2832,0
6.2832,0,0
6.2832,0.20268,0
6.2832,0.40537,0
6.2832,0.60805,0
6.2832,0.81073,0
6.2832,1.0134,0
6.2832,1.2161,0
6.2832,1.4188,0
6.2832,1.6215,0
6.2832,1.8242,0
6.2832,2.0268,0
6.2832,2.2295,0
6.2832,2.4322,0
6.2832,2.6349,0
6.2832,2.8376,0
6.2832,3.0403,0
6.2832,3.2429,0
6.2832,3.4456,0
6.2832,3.6483,0
6.2832,3.851,0
6.2832,4.0537,0
6.2832,4.2564,0
6.2832,4.459,0
6.2832,4.6617,0
6.2832,4.8644,0
6.2832,5.0671,0
6.2832,5.2698,0
6.2832,5.4725,0
6.2832,5.6751,0
6.2832,5.8778,0
6.2832,6.0805,0
6.2832,6.2832,0
0,0,0.20268
0,0.20268,0.20268
0,0.40537,0.20268
0,0.60805,0.20268
0,0.81073,0.20268
0,1.0134,0.20268
0,1.2161,0.20268
0,1.4188,0.20268
0,1.6215,0.20268
0,1.8242,0.20268
0,2.0268,0.20268
0,2.2295,0.20268
0,2.4322,0.20268
0,2.6349,0.20268
0,2.8376,0.20268
0,3.0403,0.20268
0,3.2429,0.20268
0,3.4456,0.20268
0,3.6483,0.20268
0,3.851,0.20268
0,4.0537,0.20268
0,4.2564,0.20268
0,4.459,0.20268
0,4.6617,0.20268
0,4.8644,0.20268
0,5.0671,0.20268
0,5.2698,0.20268
0,5.4725,0.20268
0,5.6751,0.20268
0,5.8778,0.20268
0,6.0805,0.20268
0,6.2832,0.20268
0.20268,0,0.20268
0.20268,0.20268,0.20268
0.20268,0.40537,0.20268
0.20268,0.60805,0.20268
0.20268,0.81073,0.20268
0.20268,1.0134,0.20268
0.20268,1.2161,0.20268
0.20268,1.4188,0.20268
0.20268,1.6215,0.20268
0.20268,1.8242,0.20268
0.20268,2.0268,0.20268
0.20268,2.2295,0.20268
0.20268,2.4322,0.20268
0.20268,2.6349,0.20268
0.20268,2.8376,0.20268
0.20268,3.0403,0.20268
0.20268,3.2429,0.20268
0.20268,3.4456,0.20268
0.20268,3.6483,0.20268
0.20268,3.851,0.20268
0.20268,4.0537,0.20268
0.20268,4.2564,0.20268
0.20268,4.459,0.20268
0.20268,4.6617,0.20268
0.20268,4.8644,0.20268
0.20268,5.0671,0.20268
0.20268,5.2698,0.20268
0.20268,5.4725,0.20268
0.20268,5.6751,0.20268
0.20268,5.8778,0.20268
0.20268,6.0805,0.20268
0.20268,6.2832,0.20268
0.40537,0,0.20268
0.40537,0.20268,0.20268
0.40537,0.40537,0.20268
0.40537,0.60805,0.20268
0.40537,0.81073,0.20268
0.40537,1.0134,0.20268
0.40537,1.2161,0.20268
0.40537,1.4188,0.20268
0.40537,1.6215,0.20268
0.40537,1.8242,0.20268
0.40537,2.0268,0.20268
0.40537,2.2295,0.20268
0.40537,2.4322,0.20268
0.40537,2.6349,0.20268
0.40537,2.8376,0.20268
0.40537,3.0403,0.20268
0.40537,3.2429,0.20268
0.40537,3.4456,0.20268
0.40537,3.6483,0.20268
0.40537,3.851,0.20268
0.40537,4.0537,0.20268
0.40537,4.2564,0.20268
0.40537,4.459,0.20268
0.40537,4.6617,0.20268
0.40537,4.8644,0.20268
0.40537,5.0671,0.20268
0.40537,5.2698,0.20268
0.40537,5.4725,0.20268
0.40537,5.6751,0.20268
0.40537,5.8778,0.20268
0.40537,6.0805,0.20268
0.40537,6.2832,0.20268
0.60805,0,0.20268
0.60805,0.20268,0.20268
0.60805,0.40537,0.20268
0.60805,0.60805,0.20268
0.60805,0.81073,0.20268
0.60805,1.0134,0.20268
0.60805,1.2161,0.20268
0.60805,1.4188,0.20268
0.60805,1.6215,0.20268
0.60805,1.8242,0.20268
0.60805,2.0268,0.20268
0.60805,2.2295,0.20268
0.60805,2.4322,0.20268
0.60805,2.6349,0.20268
0.60805,2.8376,0.20268
0.60805,3.0403,0.20268
0.60805,3.2429,0.20268
0.60805,3.4456,0.20268
0.60805,3.6483,0.20268
0.60805,3.851,0.20268
0.60805,4.0537,0.20268
0.60805,4.2564,0.20268
0.60805,4.459,0.20268
0.60805,4.6617,0.20268
0.60805,4.8644,0.20268
0.60805,5.0671,0.20268
0.60805,5.2698,0.20268
0.60805,5.4725,0.20268
0.60805,5.6751,0.20268
0.60805,5.8778,0.20268
0.60805,6.0805,0.20268
0.60805,6.2832,0.20268
0.81073,0,0.20268
0.81073,0.20268,0.20268
0.81073,0.40537,0.20268
0.81073,0.60805,0.20268
0.81073,0.81073,0.20268
0.81073,1.0134,0.20268
0.81073,1.2161,0.20268
0.81073,1.4188,0.20268
0.81073,1.6215,0.20268
0.81073,1.8242,0.20268
0.81073,2.0268,0.20268
